"","Customer.ID","Customer.Type","Address","City","State","SUMActualTimeToCompleteInHrs","SUMDelayInResponseTimeInHrs","SUMTicketRevenue","CustomerRecentVisit","SumDiffInConsecutiveCallsInHrs","DistinctJobCodeCounts","DistinctRevCodeCounts","TotCallsOnSunday","TotCallsOnMonday","TotCallsOnTuesday","TotCallsOnWednesday","TotCallsOnThursday","TotCallsOnFriday","TotCallsOnSaturday","CustomerFrequency","AvgActualTimeToCompleteInHrs","AvgDiffInConsecutiveCallsInHrs","AvgDelayInResponseTimeInHrs"
"1","C000001","CustType03","718 Address","BALTIMORE","MD",74.7166666666667,2.86666666666667,959.83,2013-06-25 11:25:00,20823.3833333333,3,2,0,1,4,0,0,0,0,5,14.9433333333333,5205.84583333333,0.573333333333333
"2","C000002","CustType03","841 Address","BALTIMORE","MD",33.5833333333333,0.45,3126.28,2012-10-18 14:06:00,4569.81666666667,4,2,0,0,0,2,3,0,0,5,6.71666666666667,1142.45416666667,0.09
"3","C000003","CustType03","30 Address","COLUMBIA","MD",152.966666666667,0.733333333333333,1288.24,2013-09-18 15:37:00,11293.8,5,2,0,0,3,1,1,0,0,5,30.5933333333333,2823.45,0.146666666666667
"4","C000004","CustType03","914 Address","BALTIMORE","MD",82.35,2.1,2855,2013-10-30 15:05:00,14338.2333333333,3,2,0,1,1,3,0,0,0,5,16.47,3584.55833333333,0.42
"5","C000005","CustType03","888 Address","BALTIMORE","MD",36.6,3.06666666666667,2807.36,2013-09-19 16:26:00,10500.0166666667,3,1,2,1,0,0,2,0,0,5,7.32,2625.00416666667,0.613333333333333
"6","C000006","CustType02","439 Address","BALTIMORE","MD",57.6833333333333,6.33333333333333,1317,2013-03-26 13:18:00,17322.8,3,2,1,2,0,1,0,1,0,5,11.5366666666667,4330.7,1.26666666666667
"7","C000007","CustType03","913 Address","GLEN BURNIE","MD",2.71666666666667,2.3,1771,2013-08-13 16:40:00,19187.6833333333,4,3,0,1,3,0,1,0,0,5,0.543333333333333,4796.92083333333,0.46
"8","C000008","CustType03","79 Address","EDGEWATER","MD",218.683333333333,0,4968.45,2013-07-11 10:07:00,16233.3166666667,3,2,0,0,0,1,0,2,2,5,43.7366666666667,4058.32916666667,0
"9","C000009","CustType03","270 Address","ODENTON","MD",124.683333333333,6.13333333333333,2707.46,2012-12-12 11:38:00,13045.8,4,1,0,1,1,2,0,1,0,5,24.9366666666667,3261.45,1.22666666666667
"10","C000010","CustType02","469 Address","BALTIMORE","MD",15.5833333333333,2.25,7378.13,2013-07-16 15:54:00,12250.4833333333,3,1,1,1,1,1,0,0,1,5,3.11666666666667,3062.62083333333,0.45
